security_no,segment,suggested_action,churn_probability
URT2OR3,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
BLZZBVO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.13
K05ZI0L,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
KMX1F8R,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
Z9AIYRB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
T6IPZHN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
J57750V,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.28
UC27YX5,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
G5178L8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
H6828US,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
JW5BOX8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
0VKRTWK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
G1JIILZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
90PRQJA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
X6QZ8TH,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
BAJ0BYT,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
U49EPBX,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
LXXG8VJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
PK6BQIQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
DIEBXLN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
JDKSUO0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
UFEP2FL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
81NDFGV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
CCCB3HF,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.13
F0CHPBO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
SMELVQH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
2PG606P,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
T28C4DK,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
VXWD2G0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
6XNZ9T5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
JQ3E373,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
CFAIRRR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
9L4DTFR,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.26
CMLDMWU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
10VZX5Z,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.76
003WKVO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
UEQ5C5X,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
Y6W4QXC,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.34
8DE3BWY,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
CD40YOQ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.74
NBDZE1E,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.23
ATBNJF2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
2V5NDHR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
JENCEZW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
JTNDT20,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.86
YQCDZNA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
O47YFLF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
8GF9KX0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.7
BJJSTUC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
NQ2Z1FV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
OCCDG59,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
6V0TDKJ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.9
FDUFQKL,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
Y4CXA1G,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
B63WV2X,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
BIDRFQZ,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.94
F7Q0I4G,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
SY8GVUC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
5MYZRAJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
1HLC6C3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
2QV14UJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
0D3JBCH,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
1VH7E5L,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.13
HHARQFN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
MSG6L5Y,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
RJ9T63B,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.0
ROYM8OD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
0IKT5RW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
TPSY6MN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
199TVNG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
I1OQ9BW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
ZCXSIR2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
QCTQ54E,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
SALNLD1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
LAF6HMQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
ODNUASC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
QOPX0TJ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
9M7TG9R,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
9XHYHY8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
351OZ4V,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.33
UNQAS8X,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
JHW9YFV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
IQ5PUUI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
YH9EUYA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
LW5LSWO,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.06
WZF2UO0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
WWFHEZ1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
AEFJM78,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
7HFKTQO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
OT2DQ1R,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
XNO56I0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
6GFQV2S,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
58XYXN3,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.8
85HRDQR,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
O6FWOI8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
YQ4H7CQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
JIQGV2F,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
ZVGCI4R,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
E6ZTPZD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
7CGHFIY,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
16H7LSQ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.19
DX4FEN2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
OTX2DEH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.89
P2OIRN5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
COEY5NR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
BEJMQ70,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
AT8ZMSB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
B06ORPS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
7N1ACVD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
1I8VM6W,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.97
LSW72VN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
54MG4J7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.16
0ROK5VK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.74
0ZSH2AR,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.83
4WKQNY4,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
F1U1MCH,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
9ROMG31,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
KUOGT4L,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
UGS559R,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.75
W2ASU4V,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
RFCHJ8T,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.86
BVPICBH,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.17
HCE0FV8,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
JHP754E,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
GYUWKQU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
1GIK6LS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
DI8L0C6,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
TDAFOZ0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
V5FG1QP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
3QE0W8Z,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
YJI9JZB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
IALFIWF,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
XTE3DGS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
LJE1DYB,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
H6S3S9I,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
J0S8E73,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
M5N0MF5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
DHMVRQV,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.87
RKDBTYF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
ZUHNBT1,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
OFMXT8O,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
SH2D8VG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
9UF8UR8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
GBE7H50,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
Y5EG4BJ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
4ORDQVC,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.94
KB9RUSV,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.99
9M1OIAT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.07
BCR9ARV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
B4P5WDA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
NWNUWKZ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
I1LNFN4,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
FL0DLRD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
OMZE0CY,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.1
4M7SANQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
BNHSNAA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
E9H5UMJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
LGDWFC6,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
91RRSUW,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
R4MF9R9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
DA5JTQP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
KMBMTPE,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.24
KNFAMKT,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.07
EIBOUKB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
9VITG28,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
TS3JGOK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
ZY2HK93,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
JDQFYLY,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
SASP28J,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
FYNC4WD,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
Z8ARW2N,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
8TDTFBP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.7
6KRPD4K,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
TUFP76T,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
GMHM06V,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.05
Z9L90XW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
2C7YHXP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
RBRXOOE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
9V9VWJE,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.1
8LRW58F,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.79
1VYF8RS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
LO3EFPJ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
ZHSHJ5N,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
VNFE5GP,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
COXDRYO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
IN6ZYNT,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
MRB91SV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
RGQ22OC,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
NFE8S6Z,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
SXUCTUV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
52LRFUX,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.93
L83KWT8,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.6
1289SYD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
RN9ZVPS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
YH3MFCO,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
9G1UQMF,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.9
91G58AG,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
THM0DQX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
LIJ3FYA,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
QGILRNG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
P7QID2I,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
W88G2C7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
RYNUJUF,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
56JGJ8V,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
A8KHOZE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
X09LH8M,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.42
5XIC2JW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
D6EHAHU,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
T891USZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
A45C9SU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
L6PL35R,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.11
QMH1Z9J,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
2VJCHXQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
Y7GNS4X,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.19
GXBW3BQ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
VS65WWF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
9BGGM7R,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
MFKHTN8,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
OYDUZBR,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.74
85JMKMZ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
QNE6LLU,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
67HW7J8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
3CGJKOH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
87GDJKI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
LGZF5T8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
GOZBJNV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.91
3H857TQ,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
BTPG51Y,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
V8DI6UO,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.14
1BBGNQA,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,1.0
ET6393J,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
6KV9474,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.06
1T0WERX,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
A3QNYMQ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
2ATREAB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
2TMBE9O,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.94
JNITD70,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
XL4ASQ4,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
QUAMR3A,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
DHUGCZV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
DXV8BPG,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.99
E5CHZ0J,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
Y4NHFN0,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
IYS8CK9,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
21NEAFN,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.92
WGEPO5D,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.26
0UDTODG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
GPIT18R,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
J6MVJQ2,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
SZHPNLR,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
B6K2W3M,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.34
8DT5N9I,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
J176SF0,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
PVCY67N,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
MP1P1BC,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
EFEWKIX,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.01
1U3BGVB,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
GC6F71K,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
GIP5KZP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
9G4YJOW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.93
82G7QHI,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
N6O28GA,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
6X4T0O1,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.92
VB2OA0V,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
6J9HRSL,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
0O84GHL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
3QT0X5D,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.01
TUQ0ZYS,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
PBU34H4,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.98
TSOSKPV,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.91
5V5DQPT,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
MPFFHQW,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
SGILWTM,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.93
B2HME2W,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.88
QTOBPYI,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
ZTP9AQV,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.38
TU8FRGL,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
BOABMQK,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.1
N074NCY,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.08
TIWX4MJ,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.09
QL90ZHU,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
ESVBP1X,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
IOUGBFZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.18
WFXXR7T,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
1W8II30,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
H3QJV81,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.96
O8RLT59,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.82
TKDP1Y4,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
QJJ1166,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
82MJO54,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
U93SCXP,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
JANJKZB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.4
6F2OJCH,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
H40O44W,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.06
2GHLU0L,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
IQVC7N1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
9QUFYPS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
5IROSEG,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.35
IVTL3SG,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.09
G9NXSTV,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.4
71EHKGR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
VHEJ8DS,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
D3NON8P,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
KCMAY5H,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.11
WHTIA1R,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
K64MIFX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
NBJ63WX,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
76UA0V7,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
INBDQTR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
9HT8X01,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
81VH1IR,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
N9ZG0Z5,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.4
1X3TZ12,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.02
EH6Y6S7,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.88
ESFJW50,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
BCG9DUW,Low Value - Stable (Upsell Opportunity),Upgrade Offer Invitation,0.23
GDMUW7C,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.1
GOUL91K,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.91
8GM53BH,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.04
5SJ6UZB,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.05
E3QF7O1,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
YHU0II3,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.87
XQCOUHL,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.9
UIDJG3E,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.99
VAIZLOK,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
NA81YRE,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.98
R6LZNTR,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
O7D9PYF,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.96
R02HC4V,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
QEJFESG,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.95
B3RFRIC,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
P3TAYWS,High Value - At Risk (VIP Recovery),Personalized Phone Call & Premium Voucher,0.81
M8OYHMD,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.0
6U30MOH,Low Value - At Risk (Standard Retarget),Automated Email Discount,1.0
YZ3PPUZ,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
TSN8GC2,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
JFNTAJX,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.02
NAB1MT8,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.85
D5TVF0G,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.89
LAL9HOY,High Value - Stable (Loyalty Rewards),Membership Anniversary Gift,0.03
ZU8U4L5,Low Value - At Risk (Standard Retarget),Automated Email Discount,0.97
