age,gender,security_no,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,tenure_days,value_segment,engagement_segment,price_sensitivity,support_risk,profile_tags,churn_probability,segment,prob_Histo,prob_RF,customer_id,top_drivers,last_purchase_days,lifetime_value,avg_order_value,category_affinity,support_tickets
50,1,HKHS5TC,0,0,0.0,0,1,2,15.0,245.74,12139.19,25.0,966.4858861,1,1,0,1,2,0,992,low,low,high,0,value_low;engagement_low;price_sensitive,0.9731566956800042,VIP-At-Risk,0.02465053795678086,0.75,HKHS5TC,high loyalty points; low average order value; long tenure,15.0,12042076.48,12139.19,0,0
26,1,7FUL4CH,1,0,1.0,2,0,1,12.0,581.85,33304.84,15.0,697.43,1,1,1,3,2,1,419,medium,medium,high,1,value_medium;engagement_medium;price_sensitive;support_risk,0.9731562299893443,Standard-At-Risk,0.9619033309321154,0.99,7FUL4CH,low loyalty points; high average order value; short tenure,12.0,13954727.959999999,33304.84,2,1
32,1,OO67BN8,1,2,1.0,1,2,0,5.0,34.47,4630.66,28.0,503.95,1,0,1,4,1,1,262,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9731558505001724,Standard-At-Risk,0.9734948775036631,0.99,OO67BN8,low loyalty points; low average order value; short tenure,5.0,1213232.92,4630.66,1,1
48,0,Z0A1G0T,1,2,0.0,2,2,2,6.0,137.16,6508.57,0.0,696.98,1,0,0,1,1,1,790,low,high,high,0,value_low;engagement_high;price_sensitive,0.9731536089833212,Standard-At-Risk,0.9796264812961814,0.99,Z0A1G0T,low loyalty points; low average order value; long tenure,6.0,5141770.3,6508.57,2,0
57,2,12PPUEV,0,2,1.0,3,2,0,11.0,122.52,24127.76,25.0,697.62,1,0,0,1,2,1,225,medium,medium,normal,0,value_medium;engagement_medium,0.9731523788961284,Standard-At-Risk,0.9546977362392596,0.91,12PPUEV,low loyalty points; low average order value; short tenure,11.0,5428746.0,24127.76,3,0
50,1,08S3TFQ,0,0,0.0,1,1,0,9.0,770.05,36267.52,16.0,664.65,1,1,0,1,1,1,156,high,high,high,0,value_high;engagement_high;price_sensitive,0.9731518392534518,Standard-At-Risk,0.9712569460412587,0.97,08S3TFQ,low loyalty points; high average order value; short tenure,9.0,5657733.119999999,36267.52,1,0
45,0,G8ZONDJ,1,2,0.0,2,2,1,17.0,1443.78,40961.49,22.0,1112.612847,0,1,1,3,1,1,1038,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9731500437541601,VIP-At-Risk,0.9625004539644149,1.0,G8ZONDJ,high loyalty points; high average order value; long tenure,17.0,42518026.62,40961.49,2,1
20,1,CSE52OS,1,2,1.0,2,2,2,13.0,120.58,46435.42,29.0,654.76,0,1,0,1,1,1,28,high,medium,high,0,value_high;engagement_medium;price_sensitive,0.9731492547742578,Standard-At-Risk,0.0062396999970123655,0.01,CSE52OS,low loyalty points; high average order value; short tenure,13.0,1300191.76,46435.42,2,0
11,1,F46GCXG,0,0,0.0,0,0,0,15.0,443.67,6538.2,19.0,697.62,0,1,0,1,3,1,356,low,low,high,0,value_low;engagement_low;price_sensitive,0.973148450041683,Standard-At-Risk,0.9561224634121933,0.99,F46GCXG,low loyalty points; low average order value; short tenure,15.0,2327599.1999999997,6538.2,0,0
43,1,7JU2120,1,0,0.0,1,2,1,10.0,31.49,48202.99,25.0,653.01,0,1,1,3,1,1,264,high,high,high,1,value_high;engagement_high;price_sensitive;support_risk,0.9731479713932786,Standard-At-Risk,0.944352121281258,0.95,7JU2120,low loyalty points; high average order value; short tenure,10.0,12725589.36,48202.99,1,1
28,1,RHWUG3W,0,2,0.0,0,1,2,24.0,31.03,24954.93,8.0,588.55,1,0,1,3,1,1,957,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9731475459279519,Standard-At-Risk,0.9542331979376885,0.98,RHWUG3W,low loyalty points; low average order value; long tenure,24.0,23881868.01,24954.93,0,1
60,0,2Z1F6K2,1,0,0.0,0,1,1,5.0,0.0,15984.35,10.0,605.83,0,1,0,1,3,1,554,low,high,high,0,value_low;engagement_high;price_sensitive,0.973147074215027,Standard-At-Risk,0.002694685759986712,0.02,2Z1F6K2,low loyalty points; low average order value; long tenure,5.0,8855329.9,15984.35,0,0
61,1,APHUF35,1,2,1.0,2,1,1,9.0,1008.72,2746.98,26.0,693.16,0,1,1,3,3,1,1084,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9731469551159362,Standard-At-Risk,0.007926560009650559,0.01,APHUF35,low loyalty points; low average order value; long tenure,9.0,2977726.32,2746.98,2,1
39,1,GTHK03A,1,0,0.0,2,1,0,13.0,199.94,9277.78,28.0,669.59,0,1,1,2,7,1,885,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9731468603215303,Standard-At-Risk,0.95720671755688,0.88,GTHK03A,low loyalty points; low average order value; long tenure,13.0,8210835.300000001,9277.78,2,1
37,1,FTHJILB,1,2,1.0,2,3,1,10.0,162.14,28485.01,18.0,597.8,1,0,1,2,1,1,494,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9731435501933774,Standard-At-Risk,0.9678475558464266,0.96,FTHJILB,low loyalty points; high average order value; short tenure,10.0,14071594.94,28485.01,2,1
29,0,6LXHXCF,1,0,0.0,1,2,2,14.0,182.06,25005.9,21.0,1017.489245,0,1,1,4,2,1,561,medium,medium,high,1,value_medium;engagement_medium;price_sensitive;support_risk,0.9731415440205651,VIP-At-Risk,0.9513617707222746,0.98,6LXHXCF,high loyalty points; low average order value; long tenure,14.0,14028309.9,25005.9,1,1
56,0,V4IOSIU,1,2,1.0,0,1,0,16.0,106.71,24563.31,28.0,719.27,0,1,0,1,3,1,155,medium,low,high,0,value_medium;engagement_low;price_sensitive,0.9731407332235542,VIP-At-Risk,0.9707584348012168,0.99,V4IOSIU,high loyalty points; low average order value; short tenure,16.0,3807313.0500000003,24563.31,0,0
12,0,1FFAPZ5,3,2,0.0,2,2,2,20.0,217.58,6466.62,21.0,613.77,1,1,0,1,1,1,644,low,low,high,0,value_low;engagement_low;price_sensitive,0.9731400242736702,Standard-At-Risk,0.951999681350143,0.94,1FFAPZ5,low loyalty points; low average order value; long tenure,20.0,4164503.28,6466.62,2,0
16,1,UM4NXS6,1,0,1.0,2,1,1,2.0,129.86,27016.05,14.0,68.5541746,0,1,1,4,3,1,302,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.9731396977813792,Standard-At-Risk,0.00040687117408891267,0.0,UM4NXS6,low loyalty points; low average order value; short tenure,2.0,8158847.1,27016.05,2,1
52,1,0HUAGL9,0,0,0.0,0,1,2,12.0,191.92,33668.91,33.48479039,681.69,1,0,0,1,0,1,968,medium,medium,normal,0,value_medium;engagement_medium,0.97313906573488,Standard-At-Risk,0.9649117245918307,0.94,0HUAGL9,low loyalty points; high average order value; long tenure,12.0,32591504.880000003,33668.91,0,0
11,0,CXBZ2PF,1,2,0.0,2,1,1,21.0,34.52,24515.17,47.64184679,514.01,1,0,0,1,2,1,448,medium,low,normal,0,value_medium;engagement_low,0.9731370691425535,Standard-At-Risk,0.0005048120551598694,0.0,CXBZ2PF,low loyalty points; low average order value; short tenure,21.0,10982796.16,24515.17,2,0
57,1,L9MZOFG,3,0,1.0,2,2,2,5.0,732.89,31969.06,9.0,668.62,1,0,1,3,2,1,974,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9731367014831169,Standard-At-Risk,0.9687669426088145,0.32,L9MZOFG,low loyalty points; high average order value; long tenure,5.0,31137864.44,31969.06,2,1
35,1,N4T8ULQ,1,0,0.0,0,3,1,4.0,0.0,9637.53,13.0,646.06,0,1,0,1,3,1,202,low,high,high,0,value_low;engagement_high;price_sensitive,0.9731353028387313,Standard-At-Risk,0.4938246992853456,0.6,N4T8ULQ,low loyalty points; low average order value; short tenure,4.0,1946781.06,9637.53,0,0
20,1,TUGVZT4,1,0,0.0,0,1,0,22.0,133.71,5889.33,12.0,571.83,0,1,1,2,0,1,496,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.9731275014900667,Standard-At-Risk,0.9652834018988076,0.98,TUGVZT4,low loyalty points; low average order value; short tenure,22.0,2921107.68,5889.33,0,1
35,1,NHTB1A1,0,0,1.0,2,2,1,5.0,186.27,29791.59,42.89823024,511.17,0,1,0,1,2,1,78,medium,high,high,0,value_medium;engagement_high;price_sensitive,0.9731251825940525,Standard-At-Risk,0.01143604203554851,0.02,NHTB1A1,low loyalty points; high average order value; short tenure,5.0,2323744.02,29791.59,2,0
47,1,VM8IVIC,1,0,0.0,2,0,1,14.0,204.6,24073.76,10.0,685.01,1,1,0,1,2,1,288,medium,medium,high,0,value_medium;engagement_medium;price_sensitive,0.9731249181067498,Standard-At-Risk,0.0005384985827259879,0.0,VM8IVIC,low loyalty points; low average order value; short tenure,14.0,6933242.88,24073.76,2,0
33,1,IJU1FAF,0,0,0.0,2,1,0,18.0,201.73,4906.19,3.389625544,651.56,1,0,0,1,0,1,436,low,low,high,0,value_low;engagement_low;price_sensitive,0.9731233592663414,Standard-At-Risk,0.9691931746862477,0.96,IJU1FAF,low loyalty points; low average order value; short tenure,18.0,2139098.84,4906.19,2,0
16,0,LWG2ROR,3,0,1.0,1,2,0,10.0,0.0,26790.54,8.0,644.33,0,1,1,2,7,1,95,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.9731221502173228,Standard-At-Risk,0.9591197367178772,0.96,LWG2ROR,low loyalty points; low average order value; short tenure,10.0,2545101.3000000003,26790.54,1,1
12,1,O3AWFUX,2,0,0.0,1,1,0,13.0,88.14,6636.98,16.0,130.532028,0,1,1,4,7,1,16,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.973120834787533,Standard-At-Risk,0.002291507216227901,0.01,O3AWFUX,low loyalty points; low average order value; short tenure,13.0,106191.68,6636.98,1,1
42,0,JYUB7WT,0,2,0.0,0,3,1,16.0,315.47,30939.06,19.0,625.19,1,0,0,1,0,1,168,medium,low,normal,0,value_medium;engagement_low,0.9731205772143221,Standard-At-Risk,0.9747269426260611,0.99,JYUB7WT,low loyalty points; high average order value; short tenure,16.0,5197762.08,30939.06,0,0
46,0,WHGZ6PP,3,2,0.0,2,2,2,6.0,135.75,34547.76,10.0,589.3,0,1,0,1,3,1,236,medium,high,high,0,value_medium;engagement_high;price_sensitive,0.9731185190567843,Standard-At-Risk,0.5335291617024094,0.78,WHGZ6PP,low loyalty points; high average order value; short tenure,6.0,8153271.36,34547.76,2,0
60,1,UOKEU9Y,1,0,0.0,1,1,2,13.0,231.46,36796.92,8.0,622.82,1,0,0,1,3,1,867,high,medium,normal,0,value_high;engagement_medium,0.9731177387172796,Standard-At-Risk,0.9684102310693316,0.97,UOKEU9Y,low loyalty points; high average order value; long tenure,13.0,31902929.639999997,36796.92,1,0
57,1,L7RSL3K,0,0,0.0,0,3,2,17.0,1220.712787,13921.53,9.0,573.59,0,1,0,1,1,1,202,low,low,high,0,value_low;engagement_low;price_sensitive,0.9731142384194186,Standard-At-Risk,0.4450679565448403,0.22,L7RSL3K,low loyalty points; low average order value; short tenure,17.0,2812149.06,13921.53,0,0
13,1,WSDHU8S,0,2,1.0,1,2,2,1.0,313.16,34655.25,6.0,517.33,1,0,0,1,3,1,617,medium,high,normal,0,value_medium;engagement_high,0.9731129808531641,Standard-At-Risk,0.9765841770689647,0.99,WSDHU8S,low loyalty points; high average order value; long tenure,1.0,21382289.25,34655.25,1,0
43,0,NKU01RQ,3,5,1.0,2,3,1,7.0,518.36,4955.55,26.0,601.36,1,0,1,0,3,1,210,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9731126976659519,Standard-At-Risk,0.012747020690980685,0.08,NKU01RQ,low loyalty points; low average order value; short tenure,7.0,1040665.5,4955.55,2,1
26,0,I1OL4KA,1,2,0.0,2,1,2,16.0,128.81,45597.41,16.0,638.01,0,1,1,0,7,1,856,high,low,high,1,value_high;engagement_low;price_sensitive;support_risk,0.9731082680646281,Standard-At-Risk,0.9191243851518386,0.97,I1OL4KA,low loyalty points; high average order value; long tenure,16.0,39031382.96,45597.41,2,1
42,1,D21VZOK,1,0,0.0,0,2,1,14.0,110.94,33068.48,29.0,661.14,0,1,0,1,7,0,408,medium,medium,high,0,value_medium;engagement_medium;price_sensitive,0.9731070113874174,Standard-At-Risk,0.0025341772686532467,0.0,D21VZOK,low loyalty points; high average order value; short tenure,14.0,13491939.840000002,33068.48,0,0
43,0,L2SOPLI,1,2,1.0,2,3,0,11.0,353.77,29864.29,24.0,697.62,0,1,0,1,2,1,1035,medium,medium,high,0,value_medium;engagement_medium;price_sensitive,0.9731059282590478,Standard-At-Risk,0.9619562496467685,0.35,L2SOPLI,low loyalty points; high average order value; long tenure,11.0,30909540.150000002,29864.29,2,0
56,1,ORV08C7,0,0,0.0,2,2,1,18.0,160.54,29157.89,26.0,589.98,1,0,0,1,0,1,445,medium,low,normal,0,value_medium;engagement_low,0.9731056982275288,Standard-At-Risk,0.000613208938150527,0.01,ORV08C7,low loyalty points; high average order value; short tenure,18.0,12975261.049999999,29157.89,2,0
59,0,6P39RF6,2,0,0.0,0,2,2,15.0,143.95,21876.21,6.0,697.62,1,0,0,1,1,1,157,medium,low,normal,0,value_medium;engagement_low,0.9731053786034903,Standard-At-Risk,0.960165255378836,0.98,6P39RF6,low loyalty points; low average order value; short tenure,15.0,3434564.9699999997,21876.21,0,0
52,0,JRW4TAK,1,2,0.0,2,2,0,19.0,80.72,17639.72,16.0,716.72,0,1,1,2,0,1,127,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.973103044079053,VIP-At-Risk,0.0075138886204128156,0.12,JRW4TAK,high loyalty points; low average order value; short tenure,19.0,2240244.44,17639.72,2,1
38,0,O93410N,0,0,1.0,2,2,2,16.0,118.97,24506.45,27.0,1076.219523,0,1,0,1,7,1,825,medium,low,high,0,value_medium;engagement_low;price_sensitive,0.9730956625168599,VIP-At-Risk,0.0005536161344458409,0.0,O93410N,high loyalty points; low average order value; long tenure,16.0,20217821.25,24506.45,2,0
61,0,NRO2XPN,1,2,1.0,1,1,2,20.0,100.33,34614.42,15.0,642.93,0,1,1,3,0,1,339,medium,low,high,1,value_medium;engagement_low;price_sensitive;support_risk,0.9730953911807195,Standard-At-Risk,0.00045618872647072267,0.01,NRO2XPN,low loyalty points; high average order value; short tenure,20.0,11734288.379999999,34614.42,1,1
14,0,4NBEU3P,1,2,1.0,0,0,2,5.0,232.03,9496.03,8.0,681.47,1,0,0,1,1,1,399,low,high,high,0,value_low;engagement_high;price_sensitive,0.9730944376865548,Standard-At-Risk,0.972526090115173,0.95,4NBEU3P,low loyalty points; low average order value; short tenure,5.0,3788915.97,9496.03,0,0
63,1,OO8W8ER,3,2,0.0,2,1,2,9.0,33.39,32154.11,23.0,506.23,0,1,0,1,3,1,389,medium,high,high,0,value_medium;engagement_high;price_sensitive,0.9730926914637428,Standard-At-Risk,0.9620991918021705,0.97,OO8W8ER,low loyalty points; high average order value; short tenure,9.0,12507948.790000001,32154.11,2,0
23,1,2WKAT2R,0,0,1.0,1,1,2,23.0,84.11,22978.75,29.0,605.9,1,0,1,3,3,1,95,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9730919683627293,Standard-At-Risk,0.9641735005199505,0.99,2WKAT2R,low loyalty points; low average order value; short tenure,23.0,2182981.25,22978.75,1,1
10,0,J2IC1VG,2,2,1.0,2,1,2,10.0,63.19,23218.93,29.0,506.91,0,1,1,2,3,1,372,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.9730912939881273,Standard-At-Risk,0.9710377864920777,0.98,J2IC1VG,low loyalty points; low average order value; short tenure,10.0,8637441.96,23218.93,2,1
50,1,MM3HE19,2,0,0.0,2,2,1,13.0,148.13,45699.61,8.0,640.93,1,0,0,1,1,1,439,high,medium,normal,0,value_high;engagement_medium,0.9730894474288202,Standard-At-Risk,0.012492991655633324,0.03,MM3HE19,low loyalty points; high average order value; short tenure,13.0,20062128.79,45699.61,2,0
54,1,6D3ZMW8,1,2,0.0,0,2,1,11.0,44.54,4881.5,15.0,618.87,0,1,1,0,1,1,252,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9730869123449298,Standard-At-Risk,0.9702713331210512,1.0,6D3ZMW8,low loyalty points; low average order value; short tenure,11.0,1230138.0,4881.5,0,1
17,1,BT4SZ8D,1,0,0.0,2,3,0,19.0,374.18,24598.58,19.0,639.28,0,1,1,0,3,1,754,medium,low,high,1,value_medium;engagement_low;price_sensitive;support_risk,0.9730853522805775,Standard-At-Risk,0.9473919899808014,0.97,BT4SZ8D,low loyalty points; low average order value; long tenure,19.0,18547329.32,24598.58,2,1
37,1,WGRI3RF,1,2,1.0,2,2,1,9.0,49.45,23131.13,22.0,1000.462647,1,0,1,2,3,1,352,medium,high,normal,1,value_medium;engagement_high;support_risk,0.9730827459612125,VIP-At-Risk,0.9673067040419175,1.0,WGRI3RF,high loyalty points; low average order value; short tenure,9.0,8142157.760000001,23131.13,2,1
54,0,JN6XT12,1,0,1.0,2,1,0,13.0,32.87,3533.34,10.0,651.86,1,0,0,1,7,1,779,low,medium,high,0,value_low;engagement_medium;price_sensitive,0.9730810067129196,Standard-At-Risk,0.9455370450189934,0.95,JN6XT12,low loyalty points; low average order value; long tenure,13.0,2752471.8600000003,3533.34,2,0
32,1,XZETKXY,1,2,1.0,0,2,2,11.0,31.06,4803.35,21.0,615.61,1,0,1,2,3,1,302,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9730797340505244,Standard-At-Risk,0.9443556087658665,0.97,XZETKXY,low loyalty points; low average order value; short tenure,11.0,1450611.7000000002,4803.35,0,1
60,1,12UGPYN,1,2,0.0,2,1,2,15.0,312.52,36047.57,13.0,506.71,1,0,1,2,3,1,120,high,low,normal,1,value_high;engagement_low;support_risk,0.9730796951481107,Standard-At-Risk,0.9580870356326988,0.9,12UGPYN,low loyalty points; high average order value; short tenure,15.0,4325708.4,36047.57,2,1
62,1,LRALVNC,2,0,0.0,2,0,1,9.0,253.42,4307.8,24.0,697.62,1,0,0,1,3,1,635,low,high,high,0,value_low;engagement_high;price_sensitive,0.9730790465170042,Standard-At-Risk,0.9643674470334701,0.9,LRALVNC,low loyalty points; low average order value; long tenure,9.0,2735453.0,4307.8,2,0
58,1,5P45VWX,0,0,0.0,1,1,0,2.0,69.34,29818.14,8.0,697.62,1,0,0,1,1,1,595,medium,high,normal,0,value_medium;engagement_high,0.9730784489013374,Standard-At-Risk,0.9803397606984187,0.97,5P45VWX,low loyalty points; high average order value; long tenure,2.0,17741793.3,29818.14,1,0
30,0,XE76TLR,1,0,1.0,2,0,2,2.0,204.7,4335.67,5.0,542.1,1,0,0,1,7,1,476,low,high,high,0,value_low;engagement_high;price_sensitive,0.9730771250680115,Standard-At-Risk,0.9774595902151549,0.99,XE76TLR,low loyalty points; low average order value; short tenure,2.0,2063778.92,4335.67,2,0
55,0,DXJMP8Q,2,2,1.0,0,3,0,14.0,634.18,36771.59,28.0,697.62,0,1,0,1,2,1,1082,high,medium,high,0,value_high;engagement_medium;price_sensitive,0.973075373948571,Standard-At-Risk,0.9570625424044117,0.98,DXJMP8Q,low loyalty points; high average order value; long tenure,14.0,39786860.379999995,36771.59,0,0
23,1,ZFREHID,1,2,0.0,0,3,2,19.0,298.39,23667.71,20.0,503.23,1,0,1,0,1,1,129,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9730746580206545,Standard-At-Risk,0.42613357224070997,0.41,ZFREHID,low loyalty points; low average order value; short tenure,19.0,3053134.59,23667.71,0,1
24,0,KNXRPT4,1,2,1.0,3,1,2,16.0,103.17,8719.64,23.0,1199.67348,0,1,0,1,7,1,618,low,low,high,0,value_low;engagement_low;price_sensitive,0.9730729137300086,VIP-At-Risk,0.9763576593470616,0.99,KNXRPT4,high loyalty points; low average order value; long tenure,16.0,5388737.52,8719.64,3,0
56,1,436JWZU,0,2,0.0,2,2,2,17.0,31.39,23105.51,40.56806948,186.9181875,1,0,1,4,0,1,300,medium,low,normal,1,value_medium;engagement_low;support_risk,0.9730718737141993,Standard-At-Risk,0.01255596275381424,0.1,436JWZU,low loyalty points; low average order value; short tenure,17.0,6931652.999999999,23105.51,2,1
29,0,B8AT1CO,0,2,0.0,1,1,2,15.0,33.41,4686.27,20.0,670.45,0,1,0,1,3,1,113,low,low,high,0,value_low;engagement_low;price_sensitive,0.9730698613728068,Standard-At-Risk,0.007321300754093523,0.01,B8AT1CO,low loyalty points; low average order value; short tenure,15.0,529548.51,4686.27,1,0
42,1,FNA2JQP,0,0,0.0,2,2,1,15.0,307.11,10387.72,14.0,535.12,1,0,0,1,0,1,259,low,low,high,0,value_low;engagement_low;price_sensitive,0.9730686347866407,Standard-At-Risk,0.9674517159114568,1.0,FNA2JQP,low loyalty points; low average order value; short tenure,15.0,2690419.48,10387.72,2,0
23,1,SE82RII,1,2,0.0,1,1,1,23.0,314.96,40069.85,12.0,585.99,1,0,1,2,3,1,707,high,low,normal,1,value_high;engagement_low;support_risk,0.9730643112719092,Standard-At-Risk,0.31459002423164567,0.19,SE82RII,low loyalty points; high average order value; long tenure,23.0,28329383.95,40069.85,1,1
11,0,HW6P2MF,2,0,0.0,1,2,2,13.0,51.05,17048.81,16.0,649.97,0,1,0,1,3,1,163,low,medium,high,0,value_low;engagement_medium;price_sensitive,0.9730635730189249,Standard-At-Risk,0.0006834160560649761,0.0,HW6P2MF,low loyalty points; low average order value; short tenure,13.0,2778956.0300000003,17048.81,1,0
58,0,TUNFW4E,1,0,0.0,2,0,2,5.0,438.68,31962.47,16.0,527.43,1,0,0,1,3,1,159,medium,high,normal,0,value_medium;engagement_high,0.9730622568084578,Standard-At-Risk,0.0010802343070955422,0.0,TUNFW4E,low loyalty points; high average order value; short tenure,5.0,5082032.73,31962.47,2,0
63,1,MDMQZKF,2,0,0.0,0,3,1,10.0,340.51,1739.11,11.0,693.98,1,1,1,4,7,1,289,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9730621815753396,Standard-At-Risk,0.9690390450465519,0.96,MDMQZKF,low loyalty points; low average order value; short tenure,10.0,502602.79,1739.11,0,1
53,2,L7DABDL,2,0,1.0,1,3,1,8.0,650.07,26235.35,0.0,532.6,0,1,1,0,0,1,840,medium,high,high,1,value_medium;engagement_high;price_sensitive;support_risk,0.9730621182813401,Standard-At-Risk,0.965268203053911,0.98,L7DABDL,low loyalty points; low average order value; long tenure,8.0,22037694.0,26235.35,1,1
43,1,UPC4RTH,1,0,0.0,0,1,1,13.0,163.36,7203.91,16.0,616.42,1,0,1,4,3,1,417,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9730615897984647,Standard-At-Risk,0.47979713155498743,0.84,UPC4RTH,low loyalty points; low average order value; short tenure,13.0,3004030.4699999997,7203.91,0,1
28,0,W87QV8I,0,2,0.0,2,3,2,10.0,32.64,9061.65,19.0,585.78,0,1,1,0,3,1,1073,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9730609598491332,Standard-At-Risk,0.0025502271300737647,0.0,W87QV8I,low loyalty points; low average order value; long tenure,10.0,9723150.45,9061.65,2,1
30,0,0T5TPRY,1,2,0.0,2,3,2,7.0,996.0138104,4194.79,14.0,124.220244,1,0,1,0,2,1,937,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.973059728594297,Standard-At-Risk,0.9712704169557609,1.0,0T5TPRY,low loyalty points; low average order value; long tenure,7.0,3930518.23,4194.79,2,1
43,0,UV35XE5,0,2,0.0,1,1,2,16.0,30.83,2920.38,27.0,631.18,1,0,1,3,2,1,929,low,low,high,1,value_low;engagement_low;price_sensitive;support_risk,0.97305900876026,Standard-At-Risk,0.9523796269884122,0.94,UV35XE5,low loyalty points; low average order value; long tenure,16.0,2713033.02,2920.38,1,1
36,0,PWF1S0E,1,2,0.0,0,2,2,13.0,59.8,28213.61,16.0,504.76,0,1,1,2,0,1,49,medium,medium,high,1,value_medium;engagement_medium;price_sensitive;support_risk,0.9730569399500959,Standard-At-Risk,0.9683831436984419,1.0,PWF1S0E,low loyalty points; high average order value; short tenure,13.0,1382466.8900000001,28213.61,0,1
58,0,862Q03P,2,0,0.0,0,2,0,14.0,30.58,36682.87,16.0,702.7,0,1,0,1,0,1,725,high,medium,high,0,value_high;engagement_medium;price_sensitive,0.9730567104791595,VIP-At-Risk,0.002260606111331862,0.0,862Q03P,high loyalty points; high average order value; long tenure,14.0,26595080.750000004,36682.87,0,0
43,1,PCVHUIN,1,0,0.0,0,1,1,12.0,64.15,11143.97,7.0,697.62,1,0,1,0,3,1,755,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.973055772419456,Standard-At-Risk,0.0068072280528372105,0.04,PCVHUIN,low loyalty points; low average order value; long tenure,12.0,8413697.35,11143.97,0,1
11,0,184T6EF,0,2,1.0,2,1,2,21.0,104.82,24546.43,19.0,699.84,0,1,0,1,7,0,468,medium,low,high,0,value_medium;engagement_low;price_sensitive,0.9730553924408447,VIP-At-Risk,0.9481402931561773,0.94,184T6EF,high loyalty points; low average order value; short tenure,21.0,11487729.24,24546.43,2,0
22,1,JYCLTWP,3,2,1.0,2,1,0,14.0,137.78,7723.39,16.0,697.62,0,1,1,3,1,1,1078,low,medium,high,1,value_low;engagement_medium;price_sensitive;support_risk,0.9730475037266537,Standard-At-Risk,0.9738252247388637,1.0,JYCLTWP,low loyalty points; low average order value; long tenure,14.0,8325814.42,7723.39,2,1
63,1,0GJJZDZ,3,2,0.0,0,1,1,14.0,440.9,36357.35,15.0,665.67,0,1,1,2,2,1,896,high,medium,high,1,value_high;engagement_medium;price_sensitive;support_risk,0.9730469946471335,Standard-At-Risk,0.9798656083720257,1.0,0GJJZDZ,low loyalty points; high average order value; long tenure,14.0,32576185.599999998,36357.35,0,1
21,0,0O9382K,1,2,1.0,0,1,0,9.0,1199.73,12826.2,25.0,860.9998751,1,0,0,1,2,1,1028,low,high,high,0,value_low;engagement_high;price_sensitive,0.9730468522556521,VIP-At-Risk,0.9561684870338062,0.96,0O9382K,high loyalty points; low average order value; long tenure,9.0,13185333.600000001,12826.2,0,0
28,1,WLY9Q0Z,1,2,1.0,1,2,2,8.0,66.36,6094.09,13.0,646.55,1,0,1,4,7,1,556,low,high,high,1,value_low;engagement_high;price_sensitive;support_risk,0.9730461562646613,Standard-At-Risk,0.9680331118981553,0.97,WLY9Q0Z,low loyalty points; low average order value; long tenure,8.0,3388314.04,6094.09,1,1
33,0,5DSOORI,2,2,1.0,2,2,1,14.0,146.21,25495.34,16.0,607.0,0,1,0,1,7,1,145,medium,medium,high,0,value_medium;engagement_medium;price_sensitive,0.9730445178782416,Standard-At-Risk,0.9518694282290894,0.97,5DSOORI,low loyalty points; low average order value; short tenure,14.0,3696824.3,25495.34,2,0
10,1,8U8FX6D,1,2,0.0,2,3,2,13.0,436.74,49933.06,12.0,588.07,1,0,1,4,2,1,341,high,medium,normal,1,value_high;engagement_medium;support_risk,0.9730430004757447,Standard-At-Risk,0.0013885476485474945,0.0,8U8FX6D,low loyalty points; high average order value; short tenure,13.0,17027173.46,49933.06,2,1
36,1,CF4RGFW,1,0,1.0,1,3,1,21.0,83.64,37074.49,22.0,901.627928,1,0,0,1,3,1,79,high,low,normal,0,value_high;engagement_low,0.9730425777479927,VIP-At-Risk,0.5595841243925103,0.83,CF4RGFW,high loyalty points; high average order value; short tenure,21.0,2928884.71,37074.49,1,0
